person,personLabel,dob
http://www.wikidata.org/entity/Q78663,Otto Muehl,1925-06-16T00:00:00Z
http://www.wikidata.org/entity/Q81649,Jeffrey Catherine Jones,1944-01-10T00:00:00Z
http://www.wikidata.org/entity/Q82445,Henri de Toulouse-Lautrec,1864-11-24T00:00:00Z
http://www.wikidata.org/entity/Q84509,Felix Philipp Kanitz,1829-08-02T00:00:00Z
http://www.wikidata.org/entity/Q84540,Charles Paul Wilp,1932-09-15T00:00:00Z
http://www.wikidata.org/entity/Q84729,Werner Schwab,1958-02-04T00:00:00Z
http://www.wikidata.org/entity/Q84761,Rudolf Schwarzkogler,1940-11-13T00:00:00Z
http://www.wikidata.org/entity/Q85972,Helmuth Ellgaard,1913-03-03T00:00:00Z
http://www.wikidata.org/entity/Q85988,Friedrich Egermann,1777-03-05T00:00:00Z
http://www.wikidata.org/entity/Q86380,Bazon Brock,1936-06-02T00:00:00Z
http://www.wikidata.org/entity/Q86861,Soshana Afroyim,1927-09-01T00:00:00Z
http://www.wikidata.org/entity/Q86950,Johann Gottlob von Quandt,1787-04-09T00:00:00Z
http://www.wikidata.org/entity/Q87024,Dagobert Peche,1887-04-03T00:00:00Z
http://www.wikidata.org/entity/Q87083,Emilie Bach,1840-07-02T00:00:00Z
http://www.wikidata.org/entity/Q87396,Lore Lorentz,1920-09-12T00:00:00Z
http://www.wikidata.org/entity/Q87839,sha.,1972-01-11T00:00:00Z
http://www.wikidata.org/entity/Q88124,Hans Adam Weissenkircher,1646-02-10T00:00:00Z
http://www.wikidata.org/entity/Q88161,Peter Hammerschlag,1902-06-27T00:00:00Z
http://www.wikidata.org/entity/Q88268,Roland Teichmann,1970-04-19T00:00:00Z
http://www.wikidata.org/entity/Q89195,Heinz Peter Mayer,1944-08-21T00:00:00Z
http://www.wikidata.org/entity/Q89412,Helmut Lang,1956-03-10T00:00:00Z
http://www.wikidata.org/entity/Q89478,Elisabeth von Janota-Bzowski,1912-11-23T00:00:00Z
