person,personLabel,dob
http://www.wikidata.org/entity/Q521367,Thomas Schmidt,1976-01-01T00:00:00Z
http://www.wikidata.org/entity/Q521367,Thomas Schmidt,1976-02-18T00:00:00Z
http://www.wikidata.org/entity/Q521902,Sailor Venus,1978-10-22T00:00:00Z
http://www.wikidata.org/entity/Q522191,Antonia Katheder,1993-11-22T00:00:00Z
http://www.wikidata.org/entity/Q529925,Magnús Scheving,1964-11-10T00:00:00Z
http://www.wikidata.org/entity/Q531116,Frédéric Collignon,1975-12-13T00:00:00Z
http://www.wikidata.org/entity/Q531553,Violina Linda Pedro,1950-01-01T00:00:00Z
http://www.wikidata.org/entity/Q532165,Thomas Homewood,1881-09-25T00:00:00Z
http://www.wikidata.org/entity/Q535941,Ghizlane Samir,1976-08-03T00:00:00Z
http://www.wikidata.org/entity/Q542057,Albert Azaryan,1929-02-11T00:00:00Z
http://www.wikidata.org/entity/Q551164,Anja Knapp,1988-09-11T00:00:00Z
http://www.wikidata.org/entity/Q558630,Toghrul Asgarov,1972-09-17T00:00:00Z
http://www.wikidata.org/entity/Q558630,Toghrul Asgarov,1992-09-17T00:00:00Z
http://www.wikidata.org/entity/Q559855,Anna Braun,1984-06-28T00:00:00Z
http://www.wikidata.org/entity/Q574303,Henryk Dobrzański,1897-06-22T00:00:00Z
http://www.wikidata.org/entity/Q581618,Agata Korc,1986-03-27T00:00:00Z
http://www.wikidata.org/entity/Q592698,August Rodenberg,1873-07-25T00:00:00Z
http://www.wikidata.org/entity/Q592708,Charles Thias,1879-11-15T00:00:00Z
http://www.wikidata.org/entity/Q592722,William Slade,1873-05-09T00:00:00Z
http://www.wikidata.org/entity/Q592733,Walter Chaffe,1870-04-02T00:00:00Z
http://www.wikidata.org/entity/Q592763,Frederick Merriman,1873-05-18T00:00:00Z
http://www.wikidata.org/entity/Q592828,Johan Edman,1875-03-29T00:00:00Z
http://www.wikidata.org/entity/Q592863,Erik Algot Fredriksson,1885-06-13T00:00:00Z
http://www.wikidata.org/entity/Q593798,Anton Martin Schiestl,1832-09-10T00:00:00Z
http://www.wikidata.org/entity/Q597514,Randy Carlyle,1956-04-19T00:00:00Z
