person,personLabel,dob
http://www.wikidata.org/entity/Q12735,John Amos Comenius,1592-03-28T00:00:00Z
http://www.wikidata.org/entity/Q12807,Umberto Eco,1932-01-05T00:00:00Z
http://www.wikidata.org/entity/Q12908,George Soros,1930-08-12T00:00:00Z
http://www.wikidata.org/entity/Q13021,Vinoba Bhave,1895-09-11T00:00:00Z
http://www.wikidata.org/entity/Q13515,Frédéric Bastiat,1801-06-30T00:00:00Z
http://www.wikidata.org/entity/Q13529,Alfred Marshall,1842-07-26T00:00:00Z
http://www.wikidata.org/entity/Q13575,François Quesnay,1694-06-04T00:00:00Z
http://www.wikidata.org/entity/Q14678,Dietrich von Hildebrand,1889-10-12T00:00:00Z
http://www.wikidata.org/entity/Q15031,Xi Jinping,1953-06-15T00:00:00Z
http://www.wikidata.org/entity/Q15474,"Sir William Hamilton, 9th Baronet",1788-03-08T00:00:00Z
http://www.wikidata.org/entity/Q15572,Johann Baptist von Spix,1781-02-09T00:00:00Z
http://www.wikidata.org/entity/Q15948,Lorena,1858-04-15T00:00:00Z
http://www.wikidata.org/entity/Q15953,Fritz Mauthner,1849-11-22T00:00:00Z
http://www.wikidata.org/entity/Q15969,Jean Améry,1912-10-31T00:00:00Z
http://www.wikidata.org/entity/Q15975,Montesquieu,1689-01-18T00:00:00Z
http://www.wikidata.org/entity/Q16381,Virchand Gandhi,1864-08-25T00:00:00Z
http://www.wikidata.org/entity/Q16382,Shrimad Rajchandra,1867-11-11T00:00:00Z
http://www.wikidata.org/entity/Q18391,Elie Wiesel,1928-09-30T00:00:00Z
http://www.wikidata.org/entity/Q18436,Émile Boirac,1851-08-26T00:00:00Z
http://www.wikidata.org/entity/Q18809,Anatoly Lunacharsky,1875-11-23T00:00:00Z
http://www.wikidata.org/entity/Q18999,Junius Rusticus,0100-01-01T00:00:00Z
http://www.wikidata.org/entity/Q19008,Arthur Balfour,1848-07-25T00:00:00Z
http://www.wikidata.org/entity/Q19074,Samuel P. Huntington,1927-04-18T00:00:00Z
