,Year,World Population,YearlyChange,NetChange,Density(P/Km²),UrbanPop,UrbanPop %
0,2020,7794798739,1.05 %,81330639,52,4378993944,56 %
1,2019,7713468100,1.08 %,82377060,52,4299438618,56 %
2,2018,7631091040,1.10 %,83232115,51,4219817318,55 %
3,2017,7547858925,1.12 %,83836876,51,4140188594,55 %
4,2016,7464022049,1.14 %,84224910,50,4060652683,54 %
5,2015,7379797139,1.16 %,84506374,50,3981497663,54 %
6,2014,7295290765,1.17 %,84708789,49,3902831934,53 %
7,2013,7210581976,1.19 %,84753917,48,3824990329,53 %
8,2012,7125828059,1.20 %,84633758,48,3747842586,53 %
9,2011,7041194301,1.21 %,84370698,47,3671423872,52 %
10,2010,6956823603,1.22 %,84056510,47,3594868146,52 %
11,2009,6872767093,1.23 %,83678407,46,3516830263,51 %
12,2008,6789088686,1.24 %,83142076,46,3439719128,51 %
13,2007,6705946610,1.24 %,82428777,45,3363609560,50 %
14,2006,6623517833,1.25 %,81610806,44,3289446226,50 %
15,2005,6541907027,1.25 %,80747638,44,3215905863,49 %
16,2004,6461159389,1.25 %,79974275,43,3143044892,49 %
17,2003,6381185114,1.26 %,79411926,43,3071743997,48 %
18,2002,6301773188,1.27 %,79146582,42,3001808223,48 %
19,2001,6222626606,1.29 %,79132783,42,2933078510,47 %
20,2000,6143493823,1.31 %,79254768,41,2868307513,47 %
21,1999,6064239055,1.33 %,79445113,41,2808231655,46 %
22,1998,5984793942,1.35 %,79748154,40,2749213598,46 %
23,1997,5905045788,1.38 %,80153837,40,2690813541,46 %
24,1996,5824891951,1.40 %,80678972,39,2632941583,45 %
25,1995,5744212979,1.43 %,81062552,39,2575505235,45 %
26,1994,5663150427,1.46 %,81552881,38,2518254111,44 %
27,1993,5581597546,1.50 %,82677737,37,2461223528,44 %
28,1992,5498919809,1.56 %,84630365,37,2404337297,44 %
29,1991,5414289444,1.63 %,87058383,36,2347462336,43 %
30,1990,5327231061,1.71 %,89789503,36,2290228096,43 %
31,1989,5237441558,1.79 %,92015550,35,2233140502,43 %
32,1988,5145426008,1.84 %,92903861,35,2176126537,42 %
33,1987,5052522147,1.85 %,91954235,34,2118882551,42 %
34,1986,4960567912,1.84 %,89646172,33,2062604394,42 %
35,1985,4870921740,1.82 %,86910119,33,2007939063,41 %
36,1984,4784011621,1.80 %,84442317,32,1955106433,41 %
37,1983,4699569304,1.78 %,82182762,32,1903822436,41 %
38,1982,4617386542,1.77 %,80389780,31,1854134229,40 %
39,1981,4536996762,1.77 %,78993248,30,1804215203,40 %
40,1980,4458003514,1.77 %,77497414,30,1754201029,39 %
41,1979,4380506100,1.76 %,75972599,29,1706021638,39 %
42,1978,4304533501,1.77 %,75027441,29,1659306117,39 %
43,1977,4229506060,1.80 %,74839196,28,1616419308,38 %
44,1976,4154666864,1.84 %,75186258,28,1577376141,38 %
45,1975,4079480606,1.89 %,75686434,27,1538624994,38 %
46,1974,4003794172,1.94 %,76013934,27,1501134655,37 %
47,1973,3927780238,1.98 %,76129993,26,1462178370,37 %
48,1972,3851650245,2.01 %,75890628,26,1424734781,37 %
49,1971,3775759617,2.04 %,75322571,25,1388834099,37 %
50,1970,3700437046,2.06 %,74756419,25,1354215496,37 %
51,1969,3625680627,2.09 %,74081500,24,1319833474,36 %
52,1968,3551599127,2.09 %,72829165,24,1285933432,36 %
53,1967,3478769962,2.08 %,70847332,23,1252566565,36 %
54,1966,3407922630,2.05 %,68339033,23,1219993032,36 %
55,1965,3339583597,2.00 %,65605259,22,1188469224,36 %
56,1964,3273978338,1.96 %,62977329,22,1157813355,35 %
57,1963,3211001009,1.92 %,60580214,22,1122561940,35 %
58,1962,3150420795,1.89 %,58577288,21,1088376703,35 %
59,1961,3091843507,1.87 %,56893759,21,1055435648,34 %
60,1960,3034949748,1.86 %,55373563,20,1023845517,34 %
61,1959,2979576185,1.84 %,53889480,20,992820546,33 %
62,1958,2925686705,1.82 %,52380615,20,962537113,33 %
63,1957,2873306090,1.80 %,50862808,19,933113168,32 %
64,1956,2822443282,1.78 %,49423346,19,904685164,32 %
65,1955,2773019936,1.77 %,48173195,19,877008842,32 %
66,1954,2724846741,1.76 %,47237781,18,850179106,31 %
67,1953,2677608960,1.78 %,46747398,18,824289989,31 %
68,1952,2630861562,1.81 %,46827301,18,799282533,30 %
69,1951,2584034261,1.88 %,47603112,17,775067697,30 %
70,1927,2000000000, , , , , 
71,1900,1600000000, , , , , 
72,1850,1200000000, , , , , 
73,1804,1000000000, , , , , 
74,1760,770000000, , , , , 
75,1700,610000000, , , , , 
76,1600,500000000, , , , , 
77,1500,450000000, , , , , 
78,1400,350000000, , , , , 
79,1200,360000000, , , , , 
80,1100,320000000, , , , , 
81,1000,275000000, , , , , 
82,900,240000000, , , , , 
83,800,220000000, , , , , 
84,700,210000000, , , , , 
85,600,200000000, , , , , 
86,200,190000000, , , , , 
87,-200,150000000, , , , , 
88,-500,100000000, , , , , 
89,-1000,50000000, , , , , 
90,-2000,27000000, , , , , 
91,-3000,14000000, , , , , 
92,-4000,7000000, , , , , 
93,-5000,5000000, , , , , 
