person,personLabel,dob
http://www.wikidata.org/entity/Q307,Galileo Galilei,1564-02-25T00:00:00Z
http://www.wikidata.org/entity/Q762,Leonardo da Vinci,1452-04-24T00:00:00Z
http://www.wikidata.org/entity/Q937,Albert Einstein,1879-03-14T00:00:00Z
http://www.wikidata.org/entity/Q6694,Alexander von Humboldt,1769-09-14T00:00:00Z
http://www.wikidata.org/entity/Q7416,Margaret Thatcher,1925-10-13T00:00:00Z
http://www.wikidata.org/entity/Q7504,Irène Joliot-Curie,1897-09-12T00:00:00Z
http://www.wikidata.org/entity/Q7518,Christina Cruickshank Miller,1899-08-29T00:00:00Z
http://www.wikidata.org/entity/Q8011,Avicenna,0980-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12735,John Amos Comenius,1592-03-28T00:00:00Z
http://www.wikidata.org/entity/Q13526,Thomas Robert Malthus,1766-02-13T00:00:00Z
http://www.wikidata.org/entity/Q13526,Thomas Robert Malthus,1766-02-14T00:00:00Z
http://www.wikidata.org/entity/Q26879,Melvil Dewey,1851-12-10T00:00:00Z
http://www.wikidata.org/entity/Q27507,Frank Malina,1912-10-02T00:00:00Z
http://www.wikidata.org/entity/Q32257,Christoph Wilhelm Hufeland,1762-08-12T00:00:00Z
http://www.wikidata.org/entity/Q34981,Isaac Asimov,1920-01-02T00:00:00Z
http://www.wikidata.org/entity/Q36488,Guglielmo Marconi,1874-04-25T00:00:00Z
http://www.wikidata.org/entity/Q38827,Jeff Carroll,1977-08-28T00:00:00Z
http://www.wikidata.org/entity/Q40852,Edward Jenner,1749-05-17T00:00:00Z
http://www.wikidata.org/entity/Q41239,Konstantin Eduardovich Tsiolkovskii,1857-09-17T00:00:00Z
http://www.wikidata.org/entity/Q44645,Benjamin Thompson,1753-03-26T00:00:00Z
http://www.wikidata.org/entity/Q45088,Pavlo Khazan,1974-11-17T00:00:00Z
http://www.wikidata.org/entity/Q46471,Vladimir Grigorievitch Peshekhonov,1934-06-14T00:00:00Z
http://www.wikidata.org/entity/Q47087,Arthur C. Clarke,1917-12-16T00:00:00Z
http://www.wikidata.org/entity/Q47480,Paul Dirac,1902-08-08T00:00:00Z
http://www.wikidata.org/entity/Q49618,James Rhyne Killian,1904-07-24T00:00:00Z
http://www.wikidata.org/entity/Q55175,Sheila Widnall,1938-07-13T00:00:00Z
http://www.wikidata.org/entity/Q55837,Renata Reisfeld,1930-01-01T00:00:00Z
http://www.wikidata.org/entity/Q56181,Rebecca W. Keller,1901-01-01T00:00:00Z
http://www.wikidata.org/entity/Q57300,Bamir Topi,1957-04-24T00:00:00Z
http://www.wikidata.org/entity/Q58720,Mikhail Vassilyevich Lomonosov,1711-11-19T00:00:00Z
http://www.wikidata.org/entity/Q58978,Max Born,1882-12-11T00:00:00Z
http://www.wikidata.org/entity/Q60095,Otto von Guericke,1602-11-20T00:00:00Z
http://www.wikidata.org/entity/Q61390,Salomon Müller,1804-04-07T00:00:00Z
http://www.wikidata.org/entity/Q61497,Kurt Tank,1898-02-24T00:00:00Z
http://www.wikidata.org/entity/Q61670,Hans Berger,1873-05-21T00:00:00Z
http://www.wikidata.org/entity/Q62086,Fritz Müller,1822-03-31T00:00:00Z
http://www.wikidata.org/entity/Q62234,Theodor Curtius,1857-05-27T00:00:00Z
http://www.wikidata.org/entity/Q62392,Mirsaleh Bikçurin,1819-02-16T00:00:00Z
http://www.wikidata.org/entity/Q62402,Paul Julius Möbius,1853-01-24T00:00:00Z
http://www.wikidata.org/entity/Q63397,Gustav Jäger,1832-06-23T00:00:00Z
http://www.wikidata.org/entity/Q64963,Wilhelm Griesinger,1817-07-29T00:00:00Z
http://www.wikidata.org/entity/Q65438,Baglan Mailybayev,1975-05-20T00:00:00Z
http://www.wikidata.org/entity/Q66600,Karl Joseph Eberth,1835-09-21T00:00:00Z
http://www.wikidata.org/entity/Q70871,Paul Erman,1764-02-29T00:00:00Z
http://www.wikidata.org/entity/Q71049,O. E. H. Wucherer,1820-07-07T00:00:00Z
http://www.wikidata.org/entity/Q71574,Paul Richard Heinrich Blasius,1883-08-09T00:00:00Z
http://www.wikidata.org/entity/Q71633,Hanna Neumann,1914-02-12T00:00:00Z
http://www.wikidata.org/entity/Q72367,Fritz Hofmann,1866-11-02T00:00:00Z
http://www.wikidata.org/entity/Q72798,Alphons Stübel,1835-07-26T00:00:00Z
http://www.wikidata.org/entity/Q75797,Michael Maestlin,1550-09-30T00:00:00Z
http://www.wikidata.org/entity/Q75914,Hans Cloos,1885-11-08T00:00:00Z
http://www.wikidata.org/entity/Q76291,Wilhelm Ahlwardt,1828-07-04T00:00:00Z
http://www.wikidata.org/entity/Q76346,Mileva Marić,1875-12-19T00:00:00Z
http://www.wikidata.org/entity/Q76616,Otto Diels,1876-01-23T00:00:00Z
http://www.wikidata.org/entity/Q76791,Ferdinand von Richthofen,1833-05-05T00:00:00Z
http://www.wikidata.org/entity/Q77280,Justinus Kerner,1786-09-18T00:00:00Z
http://www.wikidata.org/entity/Q78076,John Rittmeister,1898-08-21T00:00:00Z
http://www.wikidata.org/entity/Q78481,Richard Adolf Zsigmondy,1865-04-01T00:00:00Z
http://www.wikidata.org/entity/Q78608,Carl Djerassi,1923-10-29T00:00:00Z
http://www.wikidata.org/entity/Q78714,Carl von Rokitansky,1804-02-19T00:00:00Z
